Age,Gender,Menstrual,Sleep_Hours,Water_Intake,Steps,Exercise_Hrs,Behaviour,Character,Mood,Favourite_Food
20,Male,N/A,7.1,1.0,6423,0.3,Calm,Good,Smile,Biryani
25,Male,N/A,6.9,2.2,1871,2.5,Calm,Good,Joy,Salad
52,Female,NA,7.4,2.1,4150,1.8,Calm,Calm,Happy,Dosa
44,Female,No,8.1,1.1,5429,2.5,Harsh,Calm,Happy,Pizza
37,Male,N/A,7.7,1.3,8131,2.8,Harsh,Friendly,Happy,Smoothie
13,Male,N/A,5.3,1.5,8712,1.8,Harsh,Good,Smile,Burger
49,Female,Yes,8.8,2.4,11887,1.2,Rude,Calm,Happy,Biryani
60,Transgender,N/A,7.4,3.6,13344,1.1,Polite,Good,Sad,Sushi
26,Female,Yes,8.7,3.3,5249,2.6,Rude,Friendly,Sad,Salad
31,Female,NA,5.7,0.5,4611,2.2,Calm,Friendly,Smile,Salad
53,Transgender,N/A,7.4,1.0,11146,2.1,Calm,Friendly,Sad,Ice Cream
42,Male,N/A,7.2,3.7,8202,1.1,Rude,Good,Happy,Pizza
43,Female,No,6.5,1.6,7634,0.2,Polite,Calm,Joy,Pizza
56,Male,N/A,8.4,0.9,3595,0.1,Calm,Good,Smile,Fried Rice
22,Male,N/A,4.4,1.8,14390,0.6,Polite,Good,Sad,Sushi
36,Transgender,N/A,5.7,0.9,4735,0.9,Harsh,Calm,Sad,Pizza
47,Female,Yes,4.0,3.0,2325,0.1,Calm,Friendly,Smile,Pasta
54,Female,Yes,8.7,1.9,12104,0.6,Calm,Good,Sad,Fried Rice
32,Transgender,N/A,5.4,0.6,13416,2.8,Polite,Friendly,Happy,Ice Cream
30,Transgender,N/A,6.6,1.6,14157,0.0,Polite,Calm,Smile,Pizza
57,Female,NA,7.3,2.0,3556,0.6,Harsh,Calm,Sad,Dosa
29,Male,N/A,8.7,3.6,2183,0.1,Polite,Friendly,Joy,Ice Cream
27,Transgender,N/A,5.6,2.4,9046,0.7,Calm,Calm,Smile,Ice Cream
52,Female,NA,6.4,2.3,5822,1.1,Polite,Friendly,Smile,Dosa
54,Transgender,N/A,4.8,3.7,4278,1.3,Harsh,Calm,Happy,Sushi
25,Female,NA,4.5,1.3,12466,2.7,Rude,Good,Sad,Fried Rice
32,Transgender,N/A,6.2,1.1,7726,1.3,Rude,Friendly,Sad,Smoothie
37,Male,N/A,6.3,1.2,9212,1.0,Rude,Friendly,Happy,Sushi
43,Male,N/A,5.1,0.9,13880,1.0,Calm,Good,Sad,Biryani
15,Male,N/A,5.9,0.7,8957,1.3,Rude,Friendly,Sad,Salad
18,Male,N/A,4.1,3.5,1011,2.5,Rude,Good,Sad,Ice Cream
43,Female,No,6.4,0.6,12513,0.1,Calm,Good,Happy,Dosa
34,Transgender,N/A,8.6,2.4,10977,0.8,Rude,Calm,Joy,Ice Cream
54,Transgender,N/A,7.2,1.6,5235,1.9,Polite,Calm,Happy,Salad
34,Male,N/A,5.7,3.3,6003,0.3,Calm,Calm,Joy,Salad
57,Transgender,N/A,7.8,2.5,6395,1.0,Calm,Calm,Happy,Pasta
17,Male,N/A,4.9,1.7,11462,2.3,Calm,Calm,Happy,Burger
58,Transgender,N/A,5.7,3.0,11969,1.4,Rude,Calm,Joy,Pasta
22,Transgender,N/A,5.1,0.9,2781,0.1,Rude,Calm,Smile,Burger
21,Male,N/A,7.7,2.3,1565,1.0,Harsh,Good,Smile,Salad
27,Female,Yes,7.3,3.9,2884,1.6,Harsh,Calm,Smile,Ice Cream
24,Female,NA,5.7,2.0,1162,1.7,Harsh,Friendly,Smile,Sushi
15,Female,Yes,7.9,2.7,14025,2.8,Harsh,Friendly,Sad,Pasta
58,Transgender,N/A,6.4,0.5,14435,1.6,Calm,Friendly,Happy,Fried Rice
14,Transgender,N/A,6.0,2.3,4024,1.6,Harsh,Calm,Sad,Sushi
35,Female,No,4.0,2.7,13133,2.4,Rude,Calm,Joy,Salad
28,Female,Yes,5.4,1.3,14120,1.1,Calm,Good,Happy,Pasta
47,Female,NA,6.6,1.9,1807,1.8,Rude,Friendly,Sad,Salad
15,Transgender,N/A,6.9,1.9,8211,1.6,Harsh,Good,Joy,Ice Cream
24,Female,Yes,7.2,3.3,8133,1.3,Polite,Calm,Sad,Fried Rice
28,Female,No,5.2,3.1,8468,2.1,Polite,Good,Smile,Pasta
60,Transgender,N/A,4.5,3.7,6937,3.0,Rude,Friendly,Sad,Dosa
41,Male,N/A,4.1,3.2,9848,2.6,Calm,Calm,Joy,Burger
24,Transgender,N/A,6.3,2.3,4173,1.6,Rude,Friendly,Joy,Sushi
18,Male,N/A,8.1,1.1,5793,0.2,Harsh,Good,Joy,Salad
44,Transgender,N/A,8.2,1.7,2224,0.3,Polite,Friendly,Joy,Ice Cream
60,Female,Yes,5.0,1.7,8215,0.4,Calm,Calm,Happy,Pizza
42,Transgender,N/A,6.1,0.9,3067,0.4,Calm,Friendly,Joy,Pizza
33,Male,N/A,4.1,3.3,4063,0.3,Calm,Calm,Smile,Dosa
46,Male,N/A,5.5,3.4,4889,2.4,Polite,Calm,Sad,Smoothie
47,Transgender,N/A,4.7,2.2,9224,2.7,Polite,Friendly,Happy,Fried Rice
16,Female,No,4.6,3.2,5427,1.9,Rude,Friendly,Smile,Dosa
48,Male,N/A,6.7,0.6,10824,2.9,Calm,Friendly,Sad,Salad
28,Transgender,N/A,6.7,3.0,1818,0.3,Calm,Good,Happy,Ice Cream
34,Male,N/A,5.4,1.5,12843,0.4,Calm,Good,Joy,Pizza
15,Female,NA,8.0,3.4,7633,2.3,Calm,Good,Joy,Pasta
37,Female,Yes,8.3,3.8,6725,1.4,Rude,Calm,Sad,Smoothie
21,Male,N/A,7.8,2.9,14670,0.7,Rude,Friendly,Joy,Burger
25,Female,Yes,7.1,3.5,8722,0.5,Harsh,Good,Happy,Burger
28,Transgender,N/A,7.9,4.0,10960,2.0,Polite,Friendly,Smile,Fried Rice
20,Male,N/A,6.2,3.9,8733,0.4,Harsh,Calm,Smile,Smoothie
18,Transgender,N/A,6.6,3.0,10051,1.8,Calm,Calm,Joy,Biryani
13,Male,N/A,6.1,3.8,5387,1.8,Calm,Good,Smile,Burger
58,Transgender,N/A,6.2,2.8,2202,1.8,Harsh,Good,Happy,Smoothie
33,Female,NA,4.1,1.3,2819,2.5,Rude,Good,Sad,Sushi
14,Female,No,8.5,0.7,8279,3.0,Calm,Friendly,Happy,Smoothie
24,Female,No,7.3,1.6,13891,1.2,Rude,Good,Joy,Ice Cream
14,Transgender,N/A,7.7,2.8,9305,0.3,Harsh,Good,Joy,Ice Cream
29,Female,Yes,6.2,0.7,14027,2.2,Calm,Calm,Joy,Dosa
37,Transgender,N/A,9.0,3.6,11177,0.9,Calm,Calm,Joy,Ice Cream
34,Female,No,5.9,3.5,11484,1.0,Polite,Friendly,Smile,Fried Rice
21,Female,Yes,8.3,0.7,10603,1.2,Polite,Good,Smile,Burger
34,Female,Yes,7.0,3.7,9825,2.9,Polite,Calm,Joy,Biryani
33,Male,N/A,5.2,2.9,2339,1.7,Polite,Calm,Smile,Pasta
34,Male,N/A,6.2,2.9,1767,0.9,Polite,Good,Smile,Sushi
53,Male,N/A,4.9,2.2,8744,0.8,Polite,Calm,Joy,Fried Rice
16,Female,No,5.8,1.9,9280,0.8,Polite,Calm,Sad,Fried Rice
60,Male,N/A,8.1,3.6,10509,0.6,Rude,Calm,Smile,Salad
39,Female,No,8.2,1.0,12757,2.1,Polite,Calm,Sad,Pasta
20,Male,N/A,8.4,3.7,8677,3.0,Polite,Friendly,Smile,Burger
48,Transgender,N/A,6.1,3.3,8090,1.3,Harsh,Calm,Sad,Smoothie
56,Female,NA,8.1,2.9,12095,0.8,Rude,Friendly,Happy,Salad
29,Female,Yes,8.1,1.6,14364,0.1,Polite,Friendly,Smile,Fried Rice
49,Transgender,N/A,4.7,3.5,10410,2.8,Harsh,Friendly,Happy,Ice Cream
16,Female,No,4.3,2.4,2263,2.4,Harsh,Friendly,Joy,Dosa
37,Male,N/A,7.7,2.4,2579,3.0,Rude,Calm,Smile,Smoothie
13,Female,Yes,4.5,1.9,5927,2.6,Calm,Friendly,Smile,Fried Rice
30,Female,Yes,8.8,3.7,1202,3.0,Polite,Friendly,Happy,Dosa
30,Male,N/A,5.9,1.2,4752,0.8,Harsh,Calm,Smile,Biryani
47,Transgender,N/A,6.1,2.1,14926,1.7,Rude,Good,Happy,Pasta
37,Male,N/A,8.8,3.8,9328,1.1,Polite,Good,Sad,Burger
46,Male,N/A,8.4,2.2,10068,1.4,Rude,Calm,Smile,Salad
27,Male,N/A,7.0,0.7,1008,0.7,Calm,Good,Happy,Biryani
37,Transgender,N/A,7.8,2.8,13406,0.1,Rude,Calm,Joy,Biryani
33,Female,Yes,6.7,2.1,4694,2.2,Polite,Good,Sad,Smoothie
47,Male,N/A,4.1,3.5,10075,1.1,Calm,Good,Smile,Biryani
55,Female,No,4.4,1.3,14939,0.3,Calm,Good,Sad,Ice Cream
41,Male,N/A,7.2,1.7,10242,2.3,Calm,Calm,Joy,Dosa
28,Male,N/A,5.9,3.6,5603,1.3,Harsh,Good,Smile,Pasta
27,Male,N/A,7.2,1.3,12657,0.1,Polite,Good,Sad,Ice Cream
40,Male,N/A,4.1,3.2,11191,1.2,Harsh,Calm,Smile,Biryani
31,Transgender,N/A,5.5,3.6,11621,0.5,Polite,Friendly,Sad,Biryani
13,Female,Yes,4.6,2.9,4984,2.9,Calm,Friendly,Joy,Ice Cream
22,Transgender,N/A,4.2,0.8,10546,2.8,Calm,Good,Smile,Sushi
35,Female,NA,6.8,3.6,9080,0.4,Polite,Friendly,Smile,Ice Cream
35,Male,N/A,7.5,0.8,8320,1.5,Rude,Good,Happy,Smoothie
34,Transgender,N/A,7.5,1.6,6146,2.5,Polite,Friendly,Happy,Dosa
36,Male,N/A,8.2,1.3,3487,0.0,Rude,Calm,Joy,Biryani
16,Transgender,N/A,5.8,2.1,13991,2.2,Calm,Calm,Sad,Burger
42,Male,N/A,4.9,0.6,11444,1.0,Calm,Friendly,Sad,Salad
35,Female,No,6.8,1.1,4572,2.9,Rude,Friendly,Sad,Sushi
48,Female,NA,4.5,2.4,4899,2.7,Calm,Good,Smile,Ice Cream
58,Transgender,N/A,5.5,3.5,14358,1.7,Rude,Calm,Happy,Salad
39,Male,N/A,6.4,2.5,2001,0.2,Rude,Calm,Happy,Pasta
48,Transgender,N/A,8.3,2.0,2269,3.0,Harsh,Friendly,Sad,Dosa
17,Female,Yes,8.6,2.9,1783,2.3,Harsh,Good,Happy,Pasta
52,Transgender,N/A,7.8,3.7,2254,0.3,Polite,Calm,Joy,Salad
26,Male,N/A,7.2,2.6,2632,0.1,Rude,Friendly,Joy,Fried Rice
42,Female,Yes,7.1,2.3,1769,0.1,Harsh,Friendly,Joy,Smoothie
42,Female,No,6.3,2.3,2301,2.2,Rude,Good,Sad,Pasta
14,Female,NA,4.4,3.1,4040,1.8,Rude,Good,Sad,Pasta
31,Transgender,N/A,8.2,3.6,6671,0.1,Rude,Good,Smile,Ice Cream
51,Transgender,N/A,8.0,2.2,7190,1.1,Rude,Calm,Sad,Dosa
30,Male,N/A,6.7,2.0,2919,1.3,Rude,Friendly,Sad,Dosa
57,Male,N/A,5.7,0.7,3170,1.9,Polite,Friendly,Sad,Fried Rice
53,Female,NA,6.8,2.9,4756,1.0,Calm,Friendly,Sad,Biryani
16,Transgender,N/A,6.7,0.9,5020,1.8,Polite,Good,Happy,Burger
53,Transgender,N/A,6.2,2.5,6000,0.1,Calm,Friendly,Joy,Ice Cream
44,Female,No,8.1,1.8,11525,1.9,Calm,Good,Joy,Ice Cream
16,Transgender,N/A,7.6,2.1,11219,0.6,Calm,Calm,Smile,Fried Rice
60,Male,N/A,8.4,1.2,13149,1.3,Rude,Calm,Joy,Burger
20,Male,N/A,6.6,3.6,2632,1.5,Calm,Good,Smile,Smoothie
25,Female,Yes,6.9,2.3,7113,2.2,Calm,Calm,Happy,Fried Rice
31,Transgender,N/A,5.8,1.9,4972,2.4,Calm,Good,Sad,Biryani
21,Female,Yes,8.1,2.5,3039,1.1,Rude,Good,Happy,Dosa
39,Female,No,4.9,2.2,2819,2.3,Polite,Calm,Sad,Pasta
49,Female,Yes,4.4,1.4,13281,2.2,Calm,Good,Joy,Biryani
46,Female,Yes,5.8,2.6,13593,2.9,Calm,Calm,Sad,Fried Rice
52,Male,N/A,4.9,3.2,8486,1.9,Rude,Calm,Smile,Pizza
33,Female,No,7.4,1.2,6428,0.9,Polite,Good,Happy,Ice Cream
44,Transgender,N/A,8.8,2.0,14242,2.4,Polite,Good,Joy,Pasta
56,Transgender,N/A,6.7,2.4,1892,1.0,Rude,Friendly,Happy,Smoothie
46,Female,Yes,4.8,1.8,4592,2.5,Calm,Good,Joy,Fried Rice
22,Transgender,N/A,7.5,2.4,6370,2.9,Calm,Friendly,Smile,Fried Rice
44,Transgender,N/A,4.3,3.9,13660,2.0,Rude,Friendly,Happy,Dosa
16,Transgender,N/A,5.0,1.6,13777,1.8,Harsh,Good,Joy,Burger
41,Female,Yes,7.7,3.5,7625,0.1,Rude,Friendly,Sad,Burger
49,Transgender,N/A,7.3,3.3,13831,1.2,Calm,Friendly,Happy,Burger
29,Transgender,N/A,8.8,2.9,10282,2.3,Calm,Friendly,Joy,Pasta
21,Female,NA,4.8,2.8,13920,2.0,Polite,Good,Joy,Fried Rice
32,Female,No,5.3,1.4,12097,2.4,Polite,Good,Joy,Salad
39,Transgender,N/A,5.8,2.3,3252,0.6,Calm,Good,Joy,Burger
51,Female,No,6.1,2.4,1197,0.2,Harsh,Good,Smile,Fried Rice
51,Male,N/A,7.7,2.8,8454,1.2,Polite,Friendly,Smile,Pasta
42,Male,N/A,5.0,2.6,10673,0.8,Rude,Good,Sad,Biryani
25,Female,NA,6.1,0.5,5938,0.6,Polite,Friendly,Joy,Sushi
33,Male,N/A,6.0,3.9,12031,0.5,Rude,Good,Sad,Sushi
13,Female,NA,5.2,3.0,2182,1.7,Rude,Friendly,Joy,Burger
25,Female,NA,8.3,2.3,3154,3.0,Polite,Good,Sad,Salad
42,Transgender,N/A,6.6,2.8,9455,2.9,Rude,Friendly,Happy,Sushi
58,Male,N/A,4.6,1.9,8103,1.3,Polite,Good,Happy,Biryani
25,Female,NA,7.6,2.5,5845,0.0,Harsh,Friendly,Sad,Pasta
43,Male,N/A,8.0,2.5,8871,1.4,Calm,Calm,Sad,Burger
35,Transgender,N/A,7.4,2.4,2242,0.9,Harsh,Good,Sad,Ice Cream
44,Female,NA,7.0,1.0,12042,1.2,Calm,Calm,Happy,Fried Rice
14,Female,No,8.1,4.0,5780,2.3,Polite,Friendly,Happy,Fried Rice
17,Transgender,N/A,5.3,2.1,8029,0.0,Polite,Calm,Smile,Dosa
25,Transgender,N/A,6.0,2.3,2815,1.0,Harsh,Friendly,Smile,Biryani
41,Male,N/A,8.1,3.9,11774,1.0,Rude,Friendly,Happy,Salad
53,Transgender,N/A,7.9,2.7,3660,1.8,Harsh,Friendly,Joy,Ice Cream
37,Transgender,N/A,8.1,1.5,11875,2.4,Harsh,Good,Sad,Fried Rice
47,Male,N/A,5.6,3.1,9410,1.5,Polite,Friendly,Smile,Pizza
43,Female,NA,8.8,1.3,4434,3.0,Rude,Calm,Joy,Biryani
44,Male,N/A,7.8,1.7,10519,1.2,Harsh,Calm,Sad,Ice Cream
44,Male,N/A,5.5,3.0,2302,1.6,Rude,Friendly,Happy,Biryani
49,Female,Yes,8.2,0.6,8097,2.5,Harsh,Friendly,Joy,Ice Cream
42,Male,N/A,8.3,2.7,9487,1.4,Calm,Good,Smile,Burger
50,Male,N/A,8.3,2.7,9049,0.2,Calm,Calm,Happy,Fried Rice
14,Transgender,N/A,4.3,2.0,7072,0.6,Harsh,Calm,Smile,Salad
24,Male,N/A,8.1,3.6,8043,2.0,Calm,Good,Sad,Biryani
47,Transgender,N/A,5.2,3.9,7411,0.9,Rude,Calm,Joy,Biryani
26,Female,NA,4.2,0.7,14702,0.7,Rude,Friendly,Happy,Sushi
33,Female,Yes,4.5,0.6,6653,2.9,Rude,Good,Happy,Salad
30,Female,Yes,8.9,1.6,3553,2.6,Calm,Good,Joy,Sushi
39,Female,No,6.2,1.2,3951,2.7,Rude,Calm,Sad,Pizza
57,Male,N/A,6.4,2.1,11457,2.2,Polite,Calm,Joy,Smoothie
20,Male,N/A,5.4,2.3,6442,0.5,Harsh,Good,Sad,Pasta
37,Female,NA,8.5,0.6,5904,2.1,Polite,Calm,Smile,Smoothie
33,Male,N/A,7.4,2.6,2019,0.9,Rude,Calm,Happy,Sushi
17,Male,N/A,8.1,0.5,2581,2.9,Polite,Calm,Smile,Burger
37,Transgender,N/A,8.8,1.4,1831,1.0,Calm,Calm,Happy,Ice Cream
37,Transgender,N/A,5.3,4.0,5031,1.0,Rude,Calm,Sad,Smoothie
54,Female,Yes,5.0,0.5,9203,0.5,Harsh,Good,Happy,Burger
58,Transgender,N/A,4.4,2.2,14631,1.6,Polite,Calm,Joy,Smoothie
45,Female,Yes,5.7,3.6,12738,0.1,Rude,Friendly,Sad,Pasta
47,Transgender,N/A,7.0,0.7,7712,1.0,Rude,Friendly,Happy,Pasta
22,Transgender,N/A,6.1,1.9,9123,2.4,Harsh,Calm,Sad,Salad
42,Transgender,N/A,7.7,1.3,6458,1.4,Calm,Calm,Sad,Burger
22,Female,No,4.0,3.9,5361,1.3,Rude,Calm,Sad,Fried Rice
57,Female,No,8.2,3.1,2066,0.0,Polite,Calm,Smile,Fried Rice
52,Transgender,N/A,8.4,3.0,13300,0.3,Rude,Calm,Joy,Sushi
34,Transgender,N/A,6.5,2.0,14085,1.7,Rude,Friendly,Smile,Fried Rice
13,Male,N/A,8.9,3.0,14110,1.2,Calm,Friendly,Sad,Biryani
33,Female,NA,6.5,3.4,2267,1.5,Polite,Friendly,Sad,Smoothie
25,Male,N/A,5.5,0.7,10270,2.3,Calm,Friendly,Joy,Smoothie
25,Transgender,N/A,7.7,3.1,10434,2.3,Calm,Good,Happy,Pasta
26,Male,N/A,4.1,0.5,3630,1.2,Harsh,Calm,Smile,Burger
60,Male,N/A,5.2,3.5,6545,1.9,Polite,Calm,Happy,Pasta
43,Transgender,N/A,8.6,2.4,9880,0.2,Polite,Friendly,Happy,Dosa
39,Transgender,N/A,5.3,1.9,8102,0.0,Polite,Friendly,Joy,Biryani
53,Female,No,8.8,2.7,14424,0.6,Harsh,Calm,Happy,Dosa
58,Transgender,N/A,4.1,3.4,5341,2.3,Calm,Friendly,Happy,Fried Rice
52,Female,NA,5.9,2.3,13104,0.6,Harsh,Good,Joy,Pizza
41,Female,No,7.9,3.9,10412,1.7,Calm,Good,Smile,Smoothie
47,Female,Yes,4.3,2.8,8311,1.9,Rude,Friendly,Joy,Pizza
13,Transgender,N/A,6.7,1.1,9605,2.4,Harsh,Friendly,Smile,Salad
56,Female,No,8.3,1.9,13162,2.2,Polite,Good,Happy,Pizza
16,Female,Yes,5.3,2.9,11392,0.8,Calm,Calm,Joy,Salad
35,Male,N/A,4.2,1.3,1283,2.0,Polite,Good,Sad,Sushi
17,Female,Yes,6.4,2.5,9957,1.8,Rude,Good,Smile,Smoothie
21,Male,N/A,6.7,0.6,5238,0.2,Calm,Good,Joy,Ice Cream
28,Female,Yes,6.3,2.3,8716,2.1,Rude,Calm,Happy,Fried Rice
59,Male,N/A,7.2,1.2,6660,2.9,Harsh,Calm,Smile,Ice Cream
25,Female,NA,8.9,3.4,4529,2.8,Rude,Good,Smile,Smoothie
32,Female,Yes,5.8,1.4,12613,2.3,Polite,Good,Happy,Pasta
47,Transgender,N/A,7.5,3.2,10940,2.2,Rude,Friendly,Happy,Ice Cream
46,Transgender,N/A,6.7,1.7,8530,0.7,Rude,Friendly,Happy,Sushi
39,Female,NA,5.7,1.0,7508,2.2,Rude,Good,Sad,Fried Rice
34,Female,No,6.9,0.7,5870,1.2,Rude,Calm,Joy,Burger
17,Male,N/A,5.2,2.7,13140,1.7,Rude,Friendly,Sad,Dosa
47,Female,No,7.9,3.1,8611,2.0,Rude,Calm,Sad,Fried Rice
39,Transgender,N/A,7.1,3.7,3880,2.8,Rude,Friendly,Sad,Ice Cream
37,Male,N/A,7.5,3.4,13592,1.8,Harsh,Friendly,Joy,Fried Rice
46,Female,Yes,5.0,2.5,2501,0.4,Polite,Friendly,Sad,Dosa
31,Male,N/A,6.6,4.0,14532,0.5,Harsh,Friendly,Happy,Fried Rice
38,Male,N/A,5.7,1.3,5380,2.1,Harsh,Calm,Joy,Smoothie
22,Transgender,N/A,6.8,1.2,5980,0.5,Calm,Calm,Smile,Salad
59,Transgender,N/A,4.1,1.0,8081,2.1,Polite,Friendly,Sad,Biryani
21,Female,No,4.1,1.3,10859,1.8,Calm,Calm,Smile,Sushi
55,Male,N/A,5.0,3.3,9406,0.5,Rude,Calm,Happy,Sushi
23,Transgender,N/A,8.6,2.2,5789,0.6,Harsh,Good,Smile,Fried Rice
16,Male,N/A,4.2,3.5,11323,1.0,Harsh,Good,Happy,Sushi
36,Female,NA,6.3,3.2,14518,0.1,Harsh,Good,Sad,Sushi
52,Male,N/A,7.0,1.9,4948,2.3,Polite,Calm,Smile,Salad
43,Transgender,N/A,8.8,2.4,14812,1.7,Harsh,Good,Happy,Smoothie
35,Transgender,N/A,6.0,2.8,9360,1.6,Polite,Calm,Joy,Pizza
54,Female,Yes,4.8,3.1,9748,1.0,Harsh,Friendly,Sad,Fried Rice
35,Male,N/A,4.4,1.4,10532,0.0,Polite,Good,Sad,Fried Rice
29,Female,NA,8.5,3.3,12333,1.5,Calm,Friendly,Happy,Pasta
21,Male,N/A,5.0,2.4,4293,2.5,Polite,Friendly,Joy,Dosa
53,Male,N/A,7.8,2.2,5062,0.9,Calm,Calm,Smile,Salad
55,Transgender,N/A,5.1,3.6,7687,0.5,Polite,Calm,Joy,Pasta
47,Male,N/A,5.7,3.1,5941,1.9,Polite,Calm,Sad,Burger
48,Female,No,6.9,2.1,6158,1.6,Harsh,Friendly,Joy,Ice Cream
58,Female,Yes,5.3,2.6,4768,0.5,Rude,Good,Joy,Burger
37,Female,NA,4.4,1.9,1415,3.0,Harsh,Calm,Happy,Pizza
56,Transgender,N/A,8.0,2.7,1094,2.4,Rude,Friendly,Happy,Pasta
26,Male,N/A,7.6,1.4,11881,2.5,Polite,Calm,Sad,Pizza
54,Male,N/A,7.8,3.9,4651,1.1,Rude,Good,Sad,Dosa
29,Female,Yes,8.7,3.7,6955,0.2,Rude,Calm,Smile,Burger
22,Female,Yes,7.5,2.9,2545,2.5,Harsh,Calm,Smile,Sushi
53,Transgender,N/A,7.0,0.9,13071,1.2,Calm,Friendly,Joy,Biryani
43,Male,N/A,7.7,1.3,12995,1.0,Polite,Good,Sad,Sushi
15,Male,N/A,5.1,0.6,3960,1.6,Harsh,Calm,Smile,Pasta
49,Transgender,N/A,4.8,3.1,10339,2.7,Calm,Good,Happy,Burger
59,Transgender,N/A,6.1,2.2,2572,2.0,Calm,Friendly,Happy,Smoothie
25,Female,No,6.0,2.4,7046,0.9,Harsh,Friendly,Sad,Biryani
17,Transgender,N/A,5.7,2.5,6780,2.9,Rude,Calm,Smile,Smoothie
34,Male,N/A,5.5,3.0,2875,0.4,Rude,Good,Happy,Pasta
38,Transgender,N/A,6.9,3.4,13912,2.9,Harsh,Calm,Smile,Pizza
33,Female,No,7.7,2.4,2443,1.5,Calm,Friendly,Sad,Dosa
31,Transgender,N/A,8.1,1.7,5754,2.3,Rude,Calm,Sad,Burger
22,Female,No,4.2,1.3,13344,1.3,Polite,Calm,Joy,Pizza
39,Transgender,N/A,5.4,2.3,7502,2.7,Polite,Good,Joy,Salad
32,Transgender,N/A,5.4,3.3,10439,1.6,Calm,Good,Smile,Dosa
36,Male,N/A,8.8,3.6,8381,1.8,Calm,Good,Smile,Smoothie
57,Female,No,6.3,3.1,6473,0.8,Calm,Calm,Smile,Burger
17,Male,N/A,6.8,3.6,2181,2.5,Polite,Calm,Smile,Fried Rice
40,Male,N/A,4.7,3.3,12549,1.7,Calm,Good,Sad,Burger
13,Transgender,N/A,6.3,3.2,10721,0.9,Harsh,Calm,Sad,Fried Rice
27,Male,N/A,7.2,1.6,13728,1.3,Rude,Calm,Joy,Fried Rice
15,Female,NA,6.3,1.0,7466,2.7,Harsh,Calm,Joy,Sushi
25,Male,N/A,5.6,0.5,2186,1.8,Harsh,Calm,Joy,Burger
14,Female,No,4.6,1.1,2796,0.9,Harsh,Friendly,Joy,Ice Cream
36,Transgender,N/A,8.5,0.7,1898,2.5,Harsh,Good,Sad,Burger
13,Male,N/A,9.0,3.5,14297,0.4,Rude,Calm,Smile,Salad
52,Transgender,N/A,7.4,3.1,5001,0.2,Calm,Calm,Sad,Pizza
54,Transgender,N/A,4.4,0.7,6192,0.3,Calm,Good,Joy,Salad
44,Male,N/A,8.5,2.5,3503,2.4,Harsh,Good,Joy,Pasta
